ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
NGA,Nigeria,urban,Drinking water,2006,5.1939,2958671.40745,Unimproved
NGA,Nigeria,rural,Drinking water,2007,30.12147,26100573.96969,Basic service
NGA,Nigeria,urban,Drinking water,2007,54.50529,32575615.31796,Basic service
NGA,Nigeria,rural,Drinking water,2007,6.76074,5858251.15697,Limited service
NGA,Nigeria,urban,Drinking water,2007,11.44809,6842058.825,Limited service
NGA,Nigeria,rural,Drinking water,2007,13.17812,11418981.33529,Safely managed service
NGA,Nigeria,urban,Drinking water,2007,23.92983,14301895.26146,Safely managed service
NGA,Nigeria,rural,Drinking water,2007,26.06079,22581952.00344,Surface water
NGA,Nigeria,urban,Drinking water,2007,4.88472,2919401.37164,Surface water
NGA,Nigeria,rural,Drinking water,2007,23.87888,20691300.15059,Unimproved
NGA,Nigeria,urban,Drinking water,2007,5.23207,3126994.60796,Unimproved
NGA,Nigeria,rural,Drinking water,2008,31.06678,27229886.91282,Basic service
NGA,Nigeria,urban,Drinking water,2008,55.32,34684461.31966,Basic service
NGA,Nigeria,rural,Drinking water,2008,6.89769,6045795.88227,Limited service
NGA,Nigeria,urban,Drinking water,2008,10.82928,6789730.06578,Limited service
NGA,Nigeria,rural,Drinking water,2008,13.45121,11789918.91871,Safely managed service
NGA,Nigeria,urban,Drinking water,2008,24.00091,15048060.39791,Safely managed service
NGA,Nigeria,rural,Drinking water,2008,24.75232,21695287.31563,Surface water
NGA,Nigeria,urban,Drinking water,2008,4.57957,2871294.34549,Surface water
NGA,Nigeria,rural,Drinking water,2008,23.832,20888634.06343,Unimproved
NGA,Nigeria,urban,Drinking water,2008,5.27023,3304322.77829,Unimproved
NGA,Nigeria,rural,Drinking water,2009,32.01894,28383309.53554,Basic service
NGA,Nigeria,urban,Drinking water,2009,56.13857,36914933.43211,Basic service
NGA,Nigeria,rural,Drinking water,2009,7.03222,6233738.52297,Limited service
NGA,Nigeria,urban,Drinking water,2009,10.20662,6711544.272,Limited service
NGA,Nigeria,rural,Drinking water,2009,13.71988,12162040.70176,Safely managed service
NGA,Nigeria,urban,Drinking water,2009,24.07199,15828973.38102,Safely managed service
NGA,Nigeria,rural,Drinking water,2009,23.44384,20781883.05361,Surface water
NGA,Nigeria,urban,Drinking water,2009,4.27442,2810723.94314,Surface water
NGA,Nigeria,rural,Drinking water,2009,23.78512,21084412.72525,Unimproved
NGA,Nigeria,urban,Drinking water,2009,5.3084,3490632.43261,Unimproved
NGA,Nigeria,rural,Drinking water,2010,32.97793,29557607.21211,Basic service
NGA,Nigeria,urban,Drinking water,2010,56.96101,39274522.37251,Basic service
NGA,Nigeria,rural,Drinking water,2010,7.16432,6421265.01464,Limited service
NGA,Nigeria,urban,Drinking water,2010,9.58008,6605449.06964,Limited service
NGA,Nigeria,rural,Drinking water,2010,13.98414,12533767.07534,Safely managed service
NGA,Nigeria,urban,Drinking water,2010,24.14307,16646607.40217,Safely managed service
NGA,Nigeria,rural,Drinking water,2010,22.13537,19839582.94941,Surface water
NGA,Nigeria,urban,Drinking water,2010,3.96927,2736807.09272,Surface water
NGA,Nigeria,rural,Drinking water,2010,23.73824,21276217.80881,Unimproved
NGA,Nigeria,urban,Drinking water,2010,5.34656,3686446.00265,Unimproved
NGA,Nigeria,rural,Drinking water,2011,33.94377,30758159.30618,Basic service
NGA,Nigeria,urban,Drinking water,2011,57.78732,41758297.2721,Basic service
NGA,Nigeria,rural,Drinking water,2011,7.29398,6609444.69574,Limited service
NGA,Nigeria,urban,Drinking water,2011,8.94968,6467220.39521,Limited service
NGA,Nigeria,rural,Drinking water,2011,14.24399,12907193.65914,Safely managed service
NGA,Nigeria,urban,Drinking water,2011,24.21415,17497640.7818,Safely managed service
NGA,Nigeria,rural,Drinking water,2011,20.82689,18872292.54182,Surface water
NGA,Nigeria,urban,Drinking water,2011,3.66412,2647770.39756,Surface water
NGA,Nigeria,rural,Drinking water,2011,23.69137,21467938.19447,Unimproved
NGA,Nigeria,urban,Drinking water,2011,5.38473,3891114.75598,Unimproved
NGA,Nigeria,rural,Drinking water,2012,34.91645,31984155.42566,Basic service
NGA,Nigeria,urban,Drinking water,2012,58.61749,44370700.16781,Basic service
NGA,Nigeria,rural,Drinking water,2012,7.42122,6797982.34821,Limited service
NGA,Nigeria,urban,Drinking water,2012,8.31541,6294376.46966,Limited service
NGA,Nigeria,rural,Drinking water,2012,14.49942,13281754.2458,Safely managed service
NGA,Nigeria,urban,Drinking water,2012,24.28523,18382784.75932,Safely managed service
